,level_0,level_1,Festival_Name,Location,Attendance_Numbers,Visitor_Demographics,Economic_Impact,Music_Genre
34,Gurten Festival,Bern, Switzerland,30000,18-40, Pop and Rock Fans,CHF 8 million,Pop/Rock
35,Lovebox Festival,London, UK,45000,18-35, Electronic and Urban Music Fans,£22 million,Electronic/Urban
36,Ejekt Festival,Athens, Greece,30000,18-35, Rock and Electronic Fans,€12 million,Rock/Electronic
37,Ruisrock,Turku, Finland,35000,18-35, Pop and Rock Fans,€10 million,Pop/Rock
38,Melt! Festival,Großpösna, Germany,50000,18-35, Electronic and Indie Fans,€25 million,Electronic/Indie
39,South West Four,London, UK,30000,18-35, Electronic and Dance Fans,£15 million,Electronic/Dance
40,Boomtown Fair,Winchester, UK,60000,18-40, Diverse Music and Arts Fans,£40 million,Various
41,Coachella Valley Music and Arts Festival,Indio, USA,125000,18-40, Various Music Fans,USD 50 million,Various
42,Lollapalooza Paris,Paris, France,75000,18-35, Rock and Electronic Fans,€30 million,Rock/Electronic
43,Valencia Music Festival,Valencia, Spain,35000,18-35, Electronic and Rock Fans,€15 million,Electronic/Rock
44,Festival Internacional de Jazz,Mexico City, Mexico,40000,25-60, Jazz Fans,MXN 20 million,Jazz
45,Burning Man,Black Rock City, USA,70000,18-50, Art and Music Fans,USD 40 million,Various
46,Newport Music Festival,Newport, USA,20000,25-60, Classical Music Fans,USD 8 million,Classical
47,Festival Internacional de Benicàssim,Benicàssim, Spain,50000,18-35, Rock and Pop Fans,€22 million,Rock/Pop
48,Meltdown Festival,London, UK,30000,18-40, Rock and Alternative Fans,£15 million,Rock/Alternative
49,Leeds Festival,Leeds, UK,80000,18-35, Rock and Alternative Fans,£35 million,Rock/Alternative
50,Munich Music Festival,Munich, Germany,35000,18-40, Electronic and Rock Fans,€18 million,Electronic/Rock
51,Budapest Jazz Festival,Budapest, Hungary,20000,25-60, Jazz Fans,€12 million,Jazz
52,Gothenburg Film Festival,Gothenburg, Sweden,20000,18-60, Film and Music Fans,SEK 8 million,Various
53,Fusion Festival,Garz, Germany,25000,18-35, Electronic and Alternative Fans,€12 million,Electronic/Alternative
54,Electric Castle Festival,Cluj-Napoca, Romania,50000,18-35, Electronic and Rock Fans,€25 million,Electronic/Rock
55,The Great Escape,Brighton, UK,20000,18-35, Emerging Artists and Indie Fans,£10 million,Indie
56,Festival Internacional de Jazz,Montreal, Canada,30000,25-60, Jazz Fans,CAD 10 million,Jazz
57,Gothenburg International Music Festival,Gothenburg, Sweden,25000,18-50, Various Music Genres,SEK 12 million,Various
58,Isle of Wight Festival,Isle of Wight, UK,60000,18-40, Rock and Pop Fans,£30 million,Rock/Pop
59,Tivoli Music Festival,Florence, Italy,25000,18-50, Classical and Jazz Fans,€10 million,Classical/Jazz
60,Pride Festival,Amsterdam, Netherlands,60000,18-35, LGBTQ+ and Pop Fans,€30 million,Pop
61,Art Basel Music Festival,Miami, USA,40000,25-60, Art and Music Enthusiasts,USD 20 million,Various
62,Thunderbolt Festival,Oslo, Norway,35000,18-35, Rock and Indie Fans,NOK 15 million,Rock/Indie
63,Sea Dance Festival,Budva, Montenegro,50000,18-35, EDM and Techno Fans,€20 million,EDM/Techno
64,Tenerife Music Festival,San Cristóbal de La Laguna, Spain,30000,18-35, Pop and Indie Fans,€12 million,Pop/Indie
65,Desertfest Berlin,Berlin, Germany,40000,18-45, Stoner Rock and Metal Fans,€25 million,Stoner Rock/Metal
66,Maui Arts & Cultural Center Festival,Kahului, USA,25000,25-60, Various Arts and Music Fans,USD 10 million,Various
67,Vive Latino Festival,Mexico City, Mexico,50000,18-35, Rock and Latin Music Fans,MXN 25 million,Rock/Latin
68,Darker Days Festival,Brussels, Belgium,30000,18-35, Dark and Electronic Fans,€15 million,Dark/Electronic
69,Summer Sonic Festival,Tokyo, Japan,60000,18-35, Rock and Electronic Fans,JPY 40 million,Rock/Electronic
70,Festival de Música de La Rioja,Logroño, Spain,25000,25-60, Classical and Jazz Fans,€12 million,Classical/Jazz
71,Hove Festival,Hove, UK,35000,18-35, Indie and Rock Fans,£15 million,Indie/Rock
72,Celtic Connections,Glasgow, UK,40000,25-60, Folk and Celtic Music Fans,£20 million,Folk/Celtic
73,Lollapalooza Chile,Santiago, Chile,50000,18-35, Rock and Electronic Fans,CLP 20 million,Rock/Electronic
74,Bergen International Festival,Bergen, Norway,30000,25-60, Classical and Folk Fans,NOK 20 million,Classical/Folk
75,Budapest Festival Orchestra,Budapest, Hungary,20000,25-60, Classical Music Fans,€15 million,Classical
76,Electric Picnic,Stradbally, Ireland,50000,18-40, Indie and Electronic Fans,€30 million,Indie/Electronic
77,Blue Balls Festival,Lucerne, Switzerland,35000,25-60, Jazz and Blues Fans,CHF 15 million,Jazz/Blues
78,Lollapalooza Buenos Aires,Buenos Aires, Argentina,60000,18-35, Rock and Electronic Fans,ARS 20 million,Rock/Electronic
79,Valencia Music Festival,Valencia, Spain,35000,18-35, Electronic and Rock Fans,€15 million,Electronic/Rock
80,Festival Internacional de Jazz,Mexico City, Mexico,40000,25-60, Jazz Fans,MXN 20 million,Jazz
81,Wacken Open Air,Wacken, Germany,75000,18-45, Metal Fans,€45 million,Metal
82,Sziget Festival,Budapest, Hungary,500000,18-40, International Attendees,€130 million,Various
83,Burning Man,Black Rock City, USA,70000,18-50, Art and Music Fans,USD 40 million,Various
84,Newport Music Festival,Newport, USA,20000,25-60, Classical Music Fans,USD 8 million,Classical
85,Festival Internacional de Benicàssim,Benicàssim, Spain,50000,18-35, Rock and Pop Fans,€22 million,Rock/Pop
86,Meltdown Festival,London, UK,30000,18-40, Rock and Alternative Fans,£15 million,Rock/Alternative
87,Leeds Festival,Leeds, UK,80000,18-35, Rock and Alternative Fans,£35 million,Rock/Alternative
88,Munich Music Festival,Munich, Germany,35000,18-40, Electronic and Rock Fans,€18 million,Electronic/Rock
89,Budapest Jazz Festival,Budapest, Hungary,20000,25-60, Jazz Fans,€12 million,Jazz
90,Gothenburg Film Festival,Gothenburg, Sweden,20000,18-60, Film and Music Fans,SEK 8 million,Various
91,Fusion Festival,Garz, Germany,25000,18-35, Electronic and Alternative Fans,€12 million,Electronic/Alternative
92,Electric Castle Festival,Cluj-Napoca, Romania,50000,18-35, Electronic and Rock Fans,€25 million,Electronic/Rock
93,The Great Escape,Brighton, UK,20000,18-35, Emerging Artists and Indie Fans,£10 million,Indie
94,Festival Internacional de Jazz,Montreal, Canada,30000,25-60, Jazz Fans,CAD 10 million,Jazz
95,Gothenburg International Music Festival,Gothenburg, Sweden,25000,18-50, Various Music Genres,SEK 12 million,Various
96,Isle of Wight Festival,Isle of Wight, UK,60000,18-40, Rock and Pop Fans,£30 million,Rock/Pop
97,Tivoli Music Festival,Florence, Italy,25000,18-50, Classical and Jazz Fans,€10 million,Classical/Jazz
98,Pride Festival,Amsterdam, Netherlands,60000,18-35, LGBTQ+ and Pop Fans,€30 million,Pop
99,Art Basel Music Festival,Miami, USA,40000,25-60, Art and Music Enthusiasts,USD 20 million,Various
100,Thunderbolt Festival,Oslo, Norway,35000,18-35, Rock and Indie Fans,NOK 15 million,Rock/Indie
101,Sea Dance Festival,Budva, Montenegro,50000,18-35, EDM and Techno Fans,€20 million,EDM/Techno
102,Tenerife Music Festival,San Cristóbal de La Laguna, Spain,30000,18-35, Pop and Indie Fans,€12 million,Pop/Indie
103,Desertfest Berlin,Berlin, Germany,40000,18-45, Stoner Rock and Metal Fans,€25 million,Stoner Rock/Metal
104,Maui Arts & Cultural Center Festival,Kahului, USA,25000,25-60, Various Arts and Music Fans,USD 10 million,Various
105,Vive Latino Festival,Mexico City, Mexico,50000,18-35, Rock and Latin Music Fans,MXN 25 million,Rock/Latin
106,Darker Days Festival,Brussels, Belgium,30000,18-35, Dark and Electronic Fans,€15 million,Dark/Electronic
107,Summer Sonic Festival,Tokyo, Japan,60000,18-35, Rock and Electronic Fans,JPY 40 million,Rock/Electronic
108,Festival de Música de La Rioja,Logroño, Spain,25000,25-60, Classical and Jazz Fans,€12 million,Classical/Jazz
109,Hove Festival,Hove, UK,35000,18-35, Indie and Rock Fans,£15 million,Indie/Rock
110,Celtic Connections,Glasgow, UK,40000,25-60, Folk and Celtic Music Fans,£20 million,Folk/Celtic
111,Lollapalooza Chile,Santiago, Chile,50000,18-35, Rock and Electronic Fans,CLP 20 million,Rock/Electronic
112,Bergen International Festival,Bergen, Norway,30000,25-60, Classical and Folk Fans,NOK 20 million,Classical/Folk
113,Budapest Festival Orchestra,Budapest, Hungary,20000,25-60, Classical Music Fans,€15 million,Classical
114,Electric Picnic,Stradbally, Ireland,50000,18-40, Indie and Electronic Fans,€30 million,Indie/Electronic
115,Blue Balls Festival,Lucerne, Switzerland,35000,25-60, Jazz and Blues Fans,CHF 15 million,Jazz/Blues
116,Lollapalooza Buenos Aires,Buenos Aires, Argentina,60000,18-35, Rock and Electronic Fans,ARS 20 million,Rock/Electronic
117,Valencia Music Festival,Valencia, Spain,35000,18-35, Electronic and Rock Fans,€15 million,Electronic/Rock
118,Festival Internacional de Jazz,Mexico City, Mexico,40000,25-60, Jazz Fans,MXN 20 million,Jazz
119,Wacken Open Air,Wacken, Germany,75000,18-45, Metal Fans,€45 million,Metal
120,Sziget Festival,Budapest, Hungary,500000,18-40, International Attendees,€130 million,Various
121,Burning Man,Black Rock City, USA,70000,18-50, Art and Music Fans,USD 40 million,Various
122,Newport Music Festival,Newport, USA,20000,25-60, Classical Music Fans,USD 8 million,Classical
123,Festival Internacional de Benicàssim,Benicàssim, Spain,50000,18-35, Rock and Pop Fans,€22 million,Rock/Pop
124,Meltdown Festival,London, UK,30000,18-40, Rock and Alternative Fans,£15 million,Rock/Alternative
125,Leeds Festival,Leeds, UK,80000,18-35, Rock and Alternative Fans,£35 million,Rock/Alternative
126,Munich Music Festival,Munich, Germany,35000,18-40, Electronic and Rock Fans,€18 million,Electronic/Rock
127,Budapest Jazz Festival,Budapest, Hungary,20000,25-60, Jazz Fans,€12 million,Jazz
128,Gothenburg Film Festival,Gothenburg, Sweden,20000,18-60, Film and Music Fans,SEK 8 million,Various
129,Fusion Festival,Garz, Germany,25000,18-35, Electronic and Alternative Fans,€12 million,Electronic/Alternative
130,Electric Castle Festival,Cluj-Napoca, Romania,50000,18-35, Electronic and Rock Fans,€25 million,Electronic/Rock
131,The Great Escape,Brighton, UK,20000,18-35, Emerging Artists and Indie Fans,£10 million,Indie
132,Festival Internacional de Jazz,Montreal, Canada,30000,25-60, Jazz Fans,CAD 10 million,Jazz
133,Gothenburg International Music Festival,Gothenburg, Sweden,25000,18-50, Various Music Genres,SEK 12 million,Various
134,Isle of Wight Festival,Isle of Wight, UK,60000,18-40, Rock and Pop Fans,£30 million,Rock/Pop
135,Tivoli Music Festival,Florence, Italy,25000,18-50, Classical and Jazz Fans,€10 million,Classical/Jazz
136,Pride Festival,Amsterdam, Netherlands,60000,18-35, LGBTQ+ and Pop Fans,€30 million,Pop
137,Art Basel Music Festival,Miami, USA,40000,25-60, Art and Music Enthusiasts,USD 20 million,Various
138,Thunderbolt Festival,Oslo, Norway,35000,18-35, Rock and Indie Fans,NOK 15 million,Rock/Indie
139,Sea Dance Festival,Budva, Montenegro,50000,18-35, EDM and Techno Fans,€20 million,EDM/Techno
140,Tenerife Music Festival,San Cristóbal de La Laguna, Spain,30000,18-35, Pop and Indie Fans,€12 million,Pop/Indie
141,Desertfest Berlin,Berlin, Germany,40000,18-45, Stoner Rock and Metal Fans,€25 million,Stoner Rock/Metal
142,Maui Arts & Cultural Center Festival,Kahului, USA,25000,25-60, Various Arts and Music Fans,USD 10 million,Various
143,Vive Latino Festival,Mexico City, Mexico,50000,18-35, Rock and Latin Music Fans,MXN 25 million,Rock/Latin
144,Darker Days Festival,Brussels, Belgium,30000,18-35, Dark and Electronic Fans,€15 million,Dark/Electronic
145,Summer Sonic Festival,Tokyo, Japan,60000,18-35, Rock and Electronic Fans,JPY 40 million,Rock/Electronic
146,Festival de Música de La Rioja,Logroño, Spain,25000,25-60, Classical and Jazz Fans,€12 million,Classical/Jazz
147,Hove Festival,Hove, UK,35000,18-35, Indie and Rock Fans,£15 million,Indie/Rock
148,Celtic Connections,Glasgow, UK,40000,25-60, Folk and Celtic Music Fans,£20 million,Folk/Celtic
149,Lollapalooza Chile,Santiago, Chile,50000,18-35, Rock and Electronic Fans,CLP 20 million,Rock/Electronic
150,Bergen International Festival,Bergen, Norway,30000,25-60, Classical and Folk Fans,NOK 20 million,Classical/Folk
151,Budapest Festival Orchestra,Budapest, Hungary,20000,25-60, Classical Music Fans,€15 million,Classical
152,Electric Picnic,Stradbally, Ireland,50000,18-40, Indie and Electronic Fans,€30 million,Indie/Electronic
153,Blue Balls Festival,Lucerne, Switzerland,35000,25-60, Jazz and Blues Fans,CHF 15 million,Jazz/Blues
154,Lollapalooza Buenos Aires,Buenos Aires, Argentina,60000,18-35, Rock and Electronic Fans,ARS 20 million,Rock/Electronic
155,Valencia Music Festival,Valencia, Spain,35000,18-35, Electronic and Rock Fans,€15 million,Electronic/Rock
156,Festival Internacional de Jazz,Mexico City, Mexico,40000,25-60, Jazz Fans,MXN 20 million,Jazz
